Chapter,QuestionID,AnswerNumber,QuestionText,AnswerText,CorrectFlag
1a,1101,1,Che cos'è l’accordo ADR?,Un accordo nazionale per il trasporto di merci pericolose su strada,F
1a,1101,2,Che cos'è l’accordo ADR?,Un accordo internazionale per il trasporto di merci pericolose su strada,V
1a,1101,3,Che cos'è l’accordo ADR?,Un accordo nazionale per il trasporto di merci refrigerate su strada,F
1a,1101,4,Che cos'è l’accordo ADR?,Un accordo internazionale per il trasporto di merci pericolose via ferrovia,F
1a,1101,5,Che cos'è l’accordo ADR?,Un accordo internazionale per il trasporto di merci pericolose via mare,F
1a,1101,6,Che cos'è l’accordo ADR?,Un accordo internazionale applicabile anche al trasporto su strada di merci pericolose in ambito nazionale,V
1a,1102,1,Le norme dell'ADR contengono:,Le prescrizioni relative alla costruzione delle cisterne,V
1a,1102,2,Le norme dell'ADR contengono:,I criteri e le modalità per la classificazione delle merci pericolose,V
1a,1102,3,Le norme dell'ADR contengono:,"Le prescrizioni generali di servizio dei veicoli (equipaggio, formazione, sorveglianza, trasporto di viaggiatori ecc.)",V
1a,1102,4,Le norme dell'ADR contengono:,Le norme per l'effettuazione di trasporti eccezionali di merci generiche,F
1a,1102,5,Le norme dell'ADR contengono:,La certificazione di qualità delle imprese di trasporto rifiuti non pericolosi,F
1a,1102,6,Le norme dell'ADR contengono:,Prescrizioni relative alla costruzione degli imballaggi,V
1a,1102,7,Le norme dell'ADR contengono:,Le disposizioni per il trasporto di animali vivi,F
1a,1102,8,Le norme dell'ADR contengono:,Le prescrizioni relative alla costruzione delle navi mercantili,F
1a,1103,1,In linea di principio le norme contenute nell'ADR si applicano:,Ai trasporti internazionali su strada di merci pericolose fra gli stati aderenti all'accordo ADR,V
1a,1103,2,In linea di principio le norme contenute nell'ADR si applicano:,Solo ai trasporti stradali con gli Stati del nord Africa,F
1a,1103,3,In linea di principio le norme contenute nell'ADR si applicano:,Esclusivamente nel territorio dei Paesi membri della Comunità Europea,F
1a,1103,4,In linea di principio le norme contenute nell'ADR si applicano:,Ai trasporti internazionali su strada di merci pericolose effettuati sia da vettori in conto terzi che da vettori in conto proprio,V
1a,1103,5,In linea di principio le norme contenute nell'ADR si applicano:,Ai trasporti su strada effettuati anche all'interno dello Stato italiano,V
1a,1103,6,In linea di principio le norme contenute nell'ADR si applicano:,Esclusivamente al trasporto via mare di prodotti petroliferi,F
1a,1104,1,Per merce pericolosa ADR s'intende:,Una merce che può compromettere la sicurezza del trasporto,V
1a,1104,2,Per merce pericolosa ADR s'intende:,Una merce che presenta rischi per il personale incaricato di movimentarla,V
1a,1104,3,Per merce pericolosa ADR s'intende:,Soltanto una merce di elevata densità allo stato solido,F
1a,1104,4,Per merce pericolosa ADR s'intende:,Esclusivamente una merce molto leggera ma di grande volume,F
1a,1104,5,Per merce pericolosa ADR s'intende:,Solamente le materie liquide e non quelle solide o gassose,F
1a,1105,1,Cos'è una merce pericolosa?,Una merce che può causare danni all'ambiente,V
1a,1105,2,Cos'è una merce pericolosa?,Una merce che può causare danni in caso di perdita del carico,V
1a,1105,3,Cos'è una merce pericolosa?,Un grosso blocco di marmo,F
1a,1105,4,Cos'è una merce pericolosa?,Un manufatto di dimensioni eccezionali,F
1a,1105,5,Cos'è una merce pericolosa?,Un manufatto di massa eccezionale,F
1a,1106,1,Viene considerata merce pericolosa ai fini ADR:,Una belva feroce,F
1a,1106,2,Viene considerata merce pericolosa ai fini ADR:,Una bevanda gassata,F
1a,1106,3,Viene considerata merce pericolosa ai fini ADR:,Un liquido altamente infiammabile,V
1a,1106,4,Viene considerata merce pericolosa ai fini ADR:,Un metallo allo stato fuso trasportato ad elevata temperatura,V
1a,1106,5,Viene considerata merce pericolosa ai fini ADR:,Una materia altamente tossica,V
1a,1106,6,Viene considerata merce pericolosa ai fini ADR:,Una materia altamente corrosiva,V
1a,1106,7,Viene considerata merce pericolosa ai fini ADR:,Una merce preziosa per la quale esista il pericolo di furto,F
1a,1106,8,Viene considerata merce pericolosa ai fini ADR:,Un carico di legname,F
1a,1107,1,"Ai fini ADR, cosa s'intende per carico completo?",Un carico proveniente da un solo speditore al quale è riservato l'uso esclusivo di un veicolo,V
1a,1107,2,"Ai fini ADR, cosa s'intende per carico completo?",Il trasporto di un container in uso esclusivo ad un unico speditore,V
1a,1107,3,"Ai fini ADR, cosa s'intende per carico completo?",Un carico composto esclusivamente da merci pericolose provenienti da più speditori,F
1a,1107,4,"Ai fini ADR, cosa s'intende per carico completo?",Un trasporto di colli provenienti da diversi speditori,F
1a,1107,5,"Ai fini ADR, cosa s'intende per carico completo?",Un trasporto svolto interamente in ambito nazionale,F
1a,1108,1,La classificazione ADR della merce pericolosa spetta:,Al conducente,F
1a,1108,2,La classificazione ADR della merce pericolosa spetta:,"Al caricatore, quando è speditore",V
1a,1108,3,La classificazione ADR della merce pericolosa spetta:,Al vettore in conto terzi,F
1a,1108,4,La classificazione ADR della merce pericolosa spetta:,Allo speditore,V
1a,1108,5,La classificazione ADR della merce pericolosa spetta:,Al produttore quando è speditore,V
1a,1108,6,La classificazione ADR della merce pericolosa spetta:,Alle autorità doganali,F
1a,1109,1,Cosa sono le classi di pericolo dell'ADR?,Raggruppamenti delle materie e oggetti pericolosi caratterizzati da un medesimo pericolo principale,V
1a,1109,2,Cosa sono le classi di pericolo dell'ADR?,Una suddivisione delle materie pericolose,V
1a,1109,3,Cosa sono le classi di pericolo dell'ADR?,Una suddivisione dei tipi d'imballaggio,F
1a,1109,4,Cosa sono le classi di pericolo dell'ADR?,Una suddivisione dei capitoli dell'ADR,F
1a,1109,5,Cosa sono le classi di pericolo dell'ADR?,Una suddivisione dei diversi tipi di cisterna,F
1a,1110,1,Le classi di pericolo dell'ADR:,Sono una suddivisione dei tipi di veicoli,F
